Review,Length,Negative,Positive,Date,Stars
review167,76,-2,2,2017-08-06,5
review168,78,-2,1,2017-07-25,4
review169,178,-1,3,2017-09-26,5
review170,161,-1,2,2017-07-20,5
review171,64,-2,2,2017-08-21,1
review172,98,-1,3,2017-05-25,5
review173,150,-1,3,2017-07-19,4
review174,56,-1,2,2017-09-05,1
review175,81,-3,2,2017-09-01,1
review176,113,-1,1,2017-07-06,5
review177,43,-1,1,2017-09-07,4
review178,178,-1,3,2017-08-05,4
review179,75,-1,2,2017-06-15,1
review180,120,-4,2,2017-07-06,2
review181,135,-2,2,2017-07-29,5
review182,123,-1,3,2017-07-11,4
review183,39,-1,1,2017-07-08,4
review184,85,-1,2,2017-08-04,5
review185,112,-2,3,2017-09-05,5
review186,113,-1,3,2017-06-27,4
review187,103,-1,1,2017-07-06,4
review188,102,-1,1,2017-05-30,3
review189,35,-1,1,2017-07-30,2
review190,34,-2,1,2017-07-22,3
review191,71,-1,1,2017-06-06,3
review192,110,-1,3,2017-09-10,5
review193,93,-1,3,2017-05-29,5
review194,29,-1,1,2017-07-09,1
review195,93,-1,1,2017-06-28,5
review196,47,-1,1,2017-05-20,2
review197,72,-1,1,2017-07-06,5
review198,44,-1,3,2017-09-13,5
review199,97,-1,3,2017-09-15,4
review200,23,-1,3,2017-07-13,4
review201,70,-1,3,2017-09-30,4
review202,13,-1,1,2017-08-24,1
review203,64,-1,3,2017-08-23,5
review204,32,-1,1,2017-08-19,5
review205,27,-1,3,2017-09-18,5
review206,50,-1,2,2017-05-31,3
review207,68,-1,1,2017-07-25,3
review208,18,-1,1,2017-06-27,4
review209,31,-1,1,2017-09-22,5
review210,56,-1,4,2017-06-02,5
review211,109,-1,4,2017-09-02,4
review212,24,-1,2,2017-06-12,3
review213,39,-1,3,2017-07-01,4
review214,40,-1,2,2017-07-07,5
review215,6,-1,1,2017-10-05,5
review216,46,-1,1,2017-09-12,1
review217,52,-1,2,2017-09-02,4
review218,25,-1,1,2017-08-30,5
review219,11,-1,1,2017-08-27,5
review220,42,-1,2,2017-08-20,1
review221,12,-1,1,2017-05-21,1
review222,13,-1,1,2017-08-18,4
review223,44,-1,3,2017-08-14,5
review224,15,-1,2,2017-08-14,5
review225,65,-1,2,2017-07-24,5
review226,13,-1,1,2017-07-24,5
review227,37,-1,1,2017-07-16,1
review228,39,-1,3,2017-07-12,5
review229,42,-1,1,2017-07-08,2
review230,52,-1,3,2017-07-03,5
review231,16,-1,2,2017-06-28,5
review232,32,-1,2,2017-06-26,3
review233,54,-1,1,2017-06-29,5
review234,34,-1,3,2017-06-22,5
review235,79,-1,1,2017-06-03,4
review236,19,-1,1,2017-05-27,5
review237,48,-1,3,2017-06-02,5
review238,17,-1,1,2017-06-06,5
review239,36,-1,3,2017-06-18,5
review240,24,-1,1,2017-05-19,5
review241,28,-1,1,2017-07-01,4
review242,20,-1,3,2017-06-14,4
review243,28,-1,4,2017-06-01,5
review244,28,-1,3,2017-07-25,5
review245,19,-1,1,2017-09-14,5
review246,8,-1,3,2017-05-28,5
review247,23,-1,1,2017-05-26,5
review248,6,-1,3,2017-08-02,5
review249,31,-1,1,2017-09-11,5
review250,19,-1,3,2017-08-01,5
review251,10,-1,3,2017-06-11,5
review252,16,-1,3,2017-07-31,5
review253,26,-1,2,2017-06-12,5
review254,16,-1,1,2017-09-01,5
review255,11,-1,3,2017-06-10,5
review256,14,-1,2,2017-08-09,5
review257,11,-1,3,2017-09-27,5
review258,11,-1,3,2017-09-11,5
review259,30,-1,1,2017-08-18,5
review260,16,-1,3,2017-08-07,5
review261,19,-1,3,2017-08-03,5
review262,16,-2,3,2017-08-03,5
review263,19,-1,1,2017-08-02,5
review264,15,-1,3,2017-07-28,4
review265,12,-1,3,2017-07-28,5
review266,10,-1,2,2017-07-23,4
review267,12,-1,3,2017-07-22,4
review268,7,-1,2,2017-07-12,4
review269,12,-1,2,2017-07-10,5
review270,12,-1,3,2017-07-06,5
