Review,Length,Negative,Positive,Date,Stars
review167,57,-1,2,2018-04-25,5
review168,51,-1,2,2018-04-21,4
review169,36,-1,2,2018-05-01,3
review170,12,-1,1,2018-04-22,4
review171,18,-1,3,2018-04-19,5
review172,8,-1,3,2018-04-28,5
review173,19,-1,1,2018-04-30,1
review174,564,-2,3,2018-04-06,5
review175,300,-2,3,2018-04-04,1
review176,375,-3,2,2018-04-16,1
review177,587,-4,4,2018-04-04,1
review178,266,-2,3,2018-04-01,1
review179,268,-1,1,2018-04-09,3
review180,260,-1,2,2018-03-31,2
review181,208,-1,3,2018-04-11,5
review182,237,-2,3,2018-04-02,5
review183,334,-2,3,2018-04-06,1
review184,239,-3,1,2018-04-05,3
review185,286,-2,3,2018-04-09,3
review186,569,-4,3,2018-04-03,1
review187,361,-2,2,2018-04-01,1
review188,278,-1,3,2018-04-12,1
review189,255,-4,3,2018-04-04,1
review190,305,-2,2,2018-04-13,3
review191,336,-1,2,2018-04-02,1
review192,382,-4,3,2018-04-03,1
review193,275,-3,3,2018-04-07,2
review194,454,-3,1,2018-04-01,1
review195,613,-2,3,2018-04-08,1
review196,385,-2,3,2018-04-17,1
review197,156,-3,3,2018-04-12,1
review198,266,-1,2,2018-04-07,1
review199,288,-1,2,2018-04-07,1
review200,285,-2,1,2018-04-02,3
review201,265,-1,2,2018-04-16,2
review202,211,-2,4,2018-04-12,1
review203,272,-2,2,2018-04-12,5
review204,561,-2,4,2018-04-01,1
review205,244,-2,3,2018-04-01,4
review206,253,-2,2,2018-04-10,2
review207,366,-1,1,2018-04-16,1
review208,161,-4,3,2018-03-31,5
review209,205,-1,2,2018-04-08,2
review210,382,-2,2,2018-04-01,1
review211,788,-4,3,2018-04-03,1
review212,184,-2,3,2018-04-01,1
review213,131,-2,1,2018-04-12,3
review214,441,-1,2,2018-04-08,2
review215,202,-4,2,2018-04-01,1
review216,109,-3,2,2018-04-03,2
review217,105,-3,2,2018-04-01,1
review218,303,-2,2,2018-04-01,1
