Review,Length,Negative,Positive,Date,Stars
review167,383,-3,1,2018-04-07,2
review168,213,-3,1,2018-04-03,1
review169,236,-2,2,2018-04-11,1
review170,235,-3,3,2018-04-13,5
review171,418,-1,3,2018-03-28,3
review172,279,-1,3,2018-04-03,5
review173,382,-3,2,2018-04-14,1
review174,197,-4,3,2018-04-11,2
review175,292,-2,3,2018-04-09,4
review176,190,-2,2,2018-04-01,2
review177,384,-2,3,2018-04-09,3
review178,528,-3,3,2018-04-10,3
review179,214,-3,2,2018-03-28,3
review180,411,-2,3,2018-03-31,5
review181,234,-3,2,2018-04-10,1
review182,487,-2,1,2018-05-21,5
review183,244,-2,1,2018-04-07,2
review184,160,-2,3,2018-04-08,5
review185,143,-3,3,2018-04-10,4
review186,143,-2,1,2018-04-14,1
review187,631,-1,3,2018-04-02,5
review188,260,-1,3,2018-04-06,1
review189,50,-3,3,2018-04-13,2
review190,354,-1,1,2018-03-27,1
review191,262,-1,2,2018-03-31,1
review192,125,-1,1,2018-04-08,5
review193,259,-3,1,2018-04-06,3
review194,203,-2,1,2018-04-08,1
review195,178,-2,1,2018-03-28,2
review196,241,-4,2,2018-04-05,1
review197,146,-3,1,2018-04-04,1
review198,399,-3,1,2018-04-11,1
review199,159,-1,1,2018-03-27,1
review200,112,-1,1,2018-04-14,1
review201,112,-1,1,2018-03-31,3
review202,197,-1,2,2018-03-30,5
review203,99,-2,1,2018-04-10,2
review204,187,-1,3,2018-03-29,4
review205,63,-2,1,2018-04-29,5
review206,92,-2,1,2018-04-15,4
review207,164,-1,3,2018-04-16,3
review208,83,-3,1,2018-04-18,3
review209,178,-2,2,2018-04-08,5
review210,41,-1,1,2018-04-12,4
review211,72,-1,1,2018-04-12,2
review212,108,-2,3,2018-04-04,4
review213,104,-1,1,2018-04-09,2
review214,76,-1,3,2018-03-29,4
review215,92,-1,2,2018-04-11,5
review216,33,-1,1,2018-04-09,1
review217,108,-1,1,2018-04-16,1
review218,79,-1,1,2018-04-16,4
review219,37,-1,1,2018-04-05,3
review220,66,-1,1,2018-04-14,4
review221,59,-2,2,2018-03-28,4
review222,55,-1,2,2018-04-03,4
review223,82,-1,3,2018-04-04,2
review224,58,-1,1,2018-04-16,5
review225,62,-2,1,2018-04-06,5
review226,67,-1,2,2018-04-03,5
review227,55,-2,3,2018-04-13,5
review228,66,-1,2,2018-04-16,4
review229,18,-1,1,2018-04-21,5
review230,12,-1,2,2018-03-29,5
review231,67,-1,3,2018-04-02,5
review232,25,-1,1,2018-03-26,1
review233,17,-1,1,2018-04-05,3
review234,22,-1,1,2018-04-15,5
review235,54,-1,3,2018-04-01,5
review236,49,-1,1,2018-04-14,5
review237,41,-1,3,2018-04-03,5
review238,44,-1,3,2018-04-14,5
review239,51,-1,1,2018-04-07,5
review240,40,-4,1,2018-04-11,1
review241,45,-1,2,2018-04-15,5
review242,7,-1,2,2018-04-13,5
review243,39,-1,3,2018-04-11,4
review244,9,-1,1,2018-03-28,5
review245,25,-1,3,2018-04-16,4
review246,22,-1,3,2018-04-12,5
review247,4,-1,1,2018-04-11,5
review248,5,-1,1,2018-04-13,4
review249,8,-1,3,2018-04-08,5
review250,12,-1,3,2018-03-30,5
review251,11,-1,3,2018-04-07,5
review252,13,-1,2,2018-04-15,5
review253,13,-1,1,2018-04-16,5
review254,5,-1,3,2018-03-31,5
review255,7,-1,3,2018-04-08,5
review256,7,-1,2,2018-04-30,5
review257,313,-1,2,2018-03-05,5
review258,414,-2,2,2018-03-08,2
review259,255,-3,1,2018-03-20,2
review260,595,-2,2,2018-03-18,1
review261,268,-3,3,2018-03-15,2
review262,296,-1,3,2018-03-17,3
review263,945,-3,3,2018-03-01,1
review264,532,-2,3,2018-03-13,1
review265,207,-3,3,2018-03-10,2
review266,551,-4,2,2018-03-14,1
review267,504,-4,4,2018-03-27,3
review268,169,-1,1,2018-03-21,3
review269,713,-2,3,2018-03-12,3
review270,189,-2,3,2018-03-15,4
review271,274,-1,2,2018-03-26,1
review272,136,-1,2,2018-03-06,1
review273,322,-2,2,2018-03-17,1
review274,325,-1,2,2018-03-14,1
review275,144,-1,1,2018-03-15,5
review276,139,-2,1,2018-03-10,4
review277,200,-1,3,2018-03-18,5
review278,226,-4,2,2018-03-14,5
review279,302,-3,1,2018-03-17,1
review280,295,-2,2,2018-03-24,3
review281,101,-3,1,2018-03-07,1
review282,106,-1,3,2018-03-16,5
review283,124,-3,1,2018-03-24,1
review284,143,-2,1,2018-03-27,1
review285,159,-4,2,2018-03-08,5
review286,202,-1,1,2018-03-23,4
review287,241,-2,2,2018-03-14,1
review288,218,-4,1,2018-03-07,1
review289,293,-1,3,2018-03-06,2
review290,218,-1,2,2018-03-15,3
review291,1159,-2,2,2018-03-12,1
review292,133,-1,1,2018-03-21,2
review293,114,-1,1,2018-04-05,1
review294,150,-1,1,2018-03-30,3
review295,172,-3,1,2018-03-13,1
review296,126,-3,2,2018-04-04,1
review297,228,-2,1,2018-03-19,1
review298,177,-2,3,2018-03-19,4
review299,64,-2,1,2018-03-20,2
review300,166,-1,2,2018-03-12,5
review301,50,-2,1,2018-03-23,4
review302,112,-1,1,2018-03-12,1
review303,51,-3,1,2018-03-28,1
review304,81,-2,2,2018-03-09,1
review305,134,-1,1,2018-03-13,3
review306,143,-1,3,2018-03-18,4
review307,44,-1,1,2018-03-26,2
review308,149,-2,1,2018-03-20,5
review309,77,-1,3,2018-03-16,5
review310,55,-2,1,2018-03-16,1
review311,127,-2,3,2018-03-09,1
review312,60,-2,3,2018-03-15,5
review313,104,-1,3,2018-03-21,2
review314,89,-1,1,2018-03-19,5
review315,63,-1,1,2018-03-10,4
review316,90,-1,2,2018-03-12,5
review317,73,-1,1,2018-03-16,4
review318,65,-1,1,2018-03-09,1
review319,69,-2,1,2018-03-22,1
review320,96,-1,2,2018-03-11,5
review321,101,-1,1,2018-04-28,1
review322,72,-1,3,2018-03-23,5
review323,59,-1,3,2018-04-28,5
review324,39,-1,1,2018-03-13,5
review325,84,-1,2,2018-03-16,5
review326,25,-1,2,2018-03-24,5
review327,81,-1,2,2018-03-15,4
review328,73,-1,3,2018-03-24,4
review329,66,-2,2,2018-03-26,5
review330,46,-1,3,2018-03-13,5
review331,18,-1,1,2018-03-15,5
review332,22,-1,2,2018-03-19,5
review333,70,-1,2,2018-03-12,5
review334,33,-1,3,2018-03-18,5
review335,43,-1,3,2018-03-17,5
review336,19,-1,1,2018-03-10,5
review337,16,-1,2,2018-03-17,5
review338,28,-1,3,2018-03-23,5
review339,28,-1,2,2018-03-23,5
review340,39,-1,2,2018-03-12,4
review341,37,-1,2,2018-03-27,3
review342,17,-1,1,2018-03-14,5
review343,8,-1,1,2018-03-24,4
review344,30,-1,3,2018-03-16,4
review345,19,-1,1,2018-03-12,5
review346,13,-1,2,2018-04-27,5
review347,19,-1,3,2018-03-16,5
review348,9,-1,2,2018-03-18,5
review349,9,-1,3,2018-03-10,5
review350,5,-1,3,2018-03-23,4
review351,7,-1,2,2018-03-24,5
review352,7,-1,3,2018-03-28,5
review353,379,-1,3,2018-02-20,3
review354,308,-2,1,2018-02-14,3
