Review,Length,Negative,Positive,Date,Stars
review167,287,-3,1,2016-12-01,1
review168,286,-2,3,2016-11-25,2
review169,523,-3,1,2016-11-28,1
review170,416,-2,4,2016-11-30,3
review171,339,-1,1,2017-02-17,3
review172,524,-3,2,2016-11-27,1
review173,533,-2,2,2016-11-28,5
review174,391,-1,3,2016-12-28,4
review175,119,-1,1,2016-12-05,1
review176,531,-3,2,2016-12-10,1
review177,107,-1,1,2016-11-28,1
review178,363,-2,2,2016-12-22,1
review179,145,-2,2,2016-11-24,2
review180,150,-1,1,2016-12-13,2
review181,178,-4,1,2016-12-05,1
review182,741,-3,2,2016-12-14,3
review183,180,-2,2,2016-11-24,4
review184,142,-1,3,2016-11-24,4
review185,212,-3,1,2017-01-01,2
review186,126,-2,2,2016-11-29,4
review187,92,-4,1,2016-12-01,1
review188,78,-1,1,2016-12-03,1
review189,257,-1,1,2016-12-17,1
review190,80,-1,1,2016-12-01,1
review191,132,-1,2,2016-12-13,3
review192,79,-1,2,2016-12-02,4
review193,101,-2,2,2016-12-28,3
review194,81,-1,3,2016-11-24,1
review195,20,-4,1,2016-11-25,1
review196,20,-2,1,2017-02-01,2
review197,16,-1,1,2016-12-20,3
review198,61,-1,1,2016-12-14,3
review199,4,-1,2,2016-12-30,5
review200,223,-4,1,2016-10-23,1
review201,414,-2,2,2016-11-22,2
review202,134,-2,1,2016-10-15,3
review203,79,-1,3,2016-11-27,4
review204,177,-1,2,2016-08-26,3
review205,45,-4,2,2016-11-03,1
review206,98,-2,2,2016-10-17,2
review207,109,-1,1,2016-10-11,1
review208,131,-1,3,2016-11-22,1
review209,769,-2,4,2016-09-10,1
review210,126,-2,2,2016-11-21,3
review211,58,-1,1,2016-11-02,1
review212,177,-4,1,2016-10-23,2
review213,521,-4,1,2016-11-18,2
review214,172,-1,3,2016-08-25,4
review215,186,-3,2,2016-10-16,1
review216,32,-3,1,2016-12-06,1
review217,261,-1,3,2016-11-22,2
review218,201,-2,1,2016-08-26,4
review219,278,-1,2,2016-08-27,1
review220,160,-3,2,2016-09-02,1
review221,349,-2,1,2016-11-18,2
review222,121,-1,3,2016-10-28,5
review223,287,-3,3,2016-09-23,5
review224,192,-2,2,2016-08-22,5
review225,111,-4,1,2016-10-23,2
review226,60,-4,1,2016-11-10,1
review227,252,-4,2,2016-09-07,1
review228,580,-2,2,2016-11-22,1
review229,164,-1,2,2016-11-22,4
review230,331,-2,2,2016-08-25,2
review231,235,-1,1,2016-11-20,2
review232,394,-4,1,2016-11-10,1
review233,264,-3,1,2016-09-02,1
review234,341,-1,1,2016-11-21,3
review235,129,-2,1,2016-11-02,1
review236,202,-4,2,2016-11-23,1
review237,129,-4,1,2016-11-23,1
review238,1194,-3,3,2016-11-17,1
review239,73,-4,2,2016-11-24,1
review240,112,-1,2,2016-07-22,2
review241,340,-3,3,2016-07-08,3
review242,398,-5,3,2016-06-16,5
review243,71,-1,3,2016-09-03,5
review244,261,-3,3,2016-07-08,2
review245,85,-1,3,2016-11-01,4
review246,14,-1,1,2016-08-08,5
review247,205,-2,1,2016-08-02,3
review248,346,-1,2,2016-06-28,2
review249,34,-2,1,2016-08-23,1
review250,32,-3,1,2016-12-06,1
review251,20,-1,2,2016-07-08,5
review252,45,-2,1,2016-10-29,1
review253,550,-1,2,2016-07-16,2
review254,181,-4,1,2016-08-09,1
review255,527,-4,2,2016-06-15,1
review256,53,-1,3,2016-07-22,5
review257,132,-3,1,2016-07-22,2
review258,344,-4,2,2016-08-14,1
review259,566,-2,3,2016-07-08,4
review260,386,-2,1,2016-07-08,3
review261,260,-3,3,2016-07-08,1
review262,346,-2,2,2016-07-22,3
review263,363,-4,1,2016-07-13,2
review264,86,-2,1,2016-07-09,1
review265,668,-2,2,2016-07-25,4
review266,417,-3,1,2016-07-23,1
review267,9,-1,2,2016-07-08,4
review268,136,-1,1,2016-07-22,3
review269,34,-2,2,2016-07-08,4
review270,49,-1,1,2016-08-27,3
review271,85,-2,1,2016-08-04,4
review272,58,-4,1,2016-07-08,1
review273,463,-2,2,2016-06-17,5
review274,17,-1,1,2016-08-28,3
review275,193,-1,3,2016-07-08,4
review276,114,-2,1,2016-06-27,3
review277,113,-4,1,2016-06-13,3
review278,158,-2,2,2016-07-09,5
review279,50,-1,1,2016-07-08,2
review280,117,-1,2,2016-06-14,4
review281,177,-1,2,2016-06-15,3
review282,312,-2,3,2016-04-13,2
review283,289,-2,1,2016-06-07,3
review284,381,-2,2,2016-05-19,3
review285,209,-2,2,2016-04-28,3
review286,405,-4,3,2016-06-08,1
review287,273,-4,2,2016-06-09,1
review288,267,-3,1,2016-06-17,2
review289,143,-2,1,2016-06-16,3
review290,448,-1,3,2016-04-16,3
review291,434,-1,3,2016-07-01,4
review292,59,-3,1,2016-07-03,1
review293,257,-2,1,2016-06-04,2
