Review,Length,Negative,Positive,Date,Stars
review167,110,-4,1,2018-04-23,1
review168,223,-1,1,2018-04-28,1
review169,132,-3,1,2018-05-18,1
review170,424,-3,1,2018-05-16,1
review171,280,-2,3,2018-05-18,1
review172,250,-1,1,2018-05-10,1
review173,214,-2,2,2018-04-24,1
review174,222,-3,2,2018-04-23,1
review175,171,-1,2,2018-05-04,1
review176,148,-3,2,2018-05-21,1
review177,709,-2,3,2018-05-01,1
review178,354,-1,2,2018-04-29,1
review179,112,-2,2,2018-05-07,1
review180,306,-2,2,2018-05-18,1
review181,94,-4,1,2018-05-09,2
review182,225,-3,1,2018-04-22,1
review183,191,-1,2,2018-04-24,1
review184,192,-4,3,2018-05-27,2
review185,123,-3,1,2018-04-26,1
review186,957,-4,2,2018-05-14,1
review187,231,-4,1,2018-05-25,2
review188,121,-2,1,2018-05-02,1
review189,183,-1,3,2018-04-24,1
review190,235,-3,1,2018-04-29,1
review191,183,-1,1,2018-05-18,4
review192,852,-4,3,2018-05-22,3
review193,180,-2,1,2018-04-27,1
review194,192,-1,2,2018-04-23,2
review195,170,-2,3,2018-05-21,3
review196,554,-2,2,2018-05-19,2
review197,196,-4,1,2018-04-22,1
review198,154,-2,1,2018-04-30,1
review199,334,-2,2,2018-04-22,3
review200,154,-4,2,2018-04-26,1
review201,443,-2,2,2018-04-26,2
review202,174,-2,2,2018-05-05,1
review203,113,-4,1,2018-05-14,1
review204,141,-1,2,2018-04-22,1
review205,159,-2,1,2018-04-27,2
review206,803,-4,2,2018-05-09,1
review207,715,-2,3,2018-05-18,1
review208,327,-2,2,2018-05-21,2
review209,127,-2,1,2018-04-22,2
review210,180,-1,2,2018-04-22,4
review211,97,-3,1,2018-04-23,1
review212,253,-1,2,2018-05-05,1
review213,115,-1,1,2018-05-08,1
review214,175,-1,2,2018-05-12,1
review215,1194,-3,1,2018-05-25,1
review216,978,-4,2,2018-04-28,3
review217,166,-2,1,2018-05-06,1
review218,266,-4,3,2018-05-27,1
review219,145,-1,3,2018-04-24,2
review220,101,-2,1,2018-05-18,1
review221,80,-2,1,2018-05-20,1
review222,105,-2,1,2018-05-01,1
review223,137,-3,1,2018-05-26,1
review224,137,-3,1,2018-04-26,1
review225,142,-2,1,2018-05-08,2
review226,599,-1,2,2018-05-20,1
review227,91,-2,1,2018-05-20,4
review228,134,-4,1,2018-05-03,1
review229,103,-1,1,2018-05-06,1
review230,187,-1,3,2018-04-23,5
review231,107,-3,2,2018-05-11,2
review232,447,-2,2,2018-05-02,1
review233,121,-3,2,2018-05-18,1
review234,266,-1,2,2018-05-16,3
review235,1354,-3,3,2018-05-03,1
review236,272,-3,2,2018-04-23,3
review237,102,-1,2,2018-04-28,1
review238,350,-2,2,2018-05-23,2
review239,68,-1,2,2018-04-23,3
review240,145,-2,2,2018-05-03,1
review241,97,-1,2,2018-05-19,3
review242,84,-3,2,2018-05-06,2
review243,230,-3,1,2018-05-01,2
review244,52,-1,2,2018-04-23,1
review245,236,-1,2,2018-05-17,1
review246,101,-1,3,2018-05-23,4
review247,352,-2,2,2018-05-26,1
review248,170,-2,3,2018-05-07,3
review249,101,-2,2,2018-05-06,4
review250,102,-3,2,2018-05-10,3
review251,262,-1,1,2018-05-23,1
review252,185,-1,1,2018-05-25,1
review253,202,-4,1,2018-05-27,1
review254,1531,-4,2,2018-05-05,2
review255,319,-3,2,2018-04-27,1
review256,209,-1,1,2018-04-25,1
review257,183,-2,1,2018-05-09,1
review258,191,-2,1,2018-05-18,2
review259,289,-4,1,2018-05-22,1
review260,322,-1,3,2018-04-22,4
